"id","time1","SL","TA","state","track_length","x","y"
"1_1",1,NA,NA,NA,1000,-71.50604,39.7186899999998
"1_1",2,2221.18864003641,0.405549109917484,2,1000,-71.4877052150867,39.724768973616
"1_1",3,15011.9265056974,-0.0607789665906111,3,1000,-71.3607865413169,39.7599548938324
"1_1",4,9891.13280810724,0.0982539032849099,3,1000,-71.2805109533145,39.7893454970211
"1_1",5,6896.32203449767,-0.00782644347719508,3,1000,-71.2243348657504,39.8094913490409
"1_1",6,9077.04515821293,0.285729118655522,3,1000,-71.163082115666,39.8509890186487
"1_1",7,6579.5555290048,0.0533702340877723,3,1000,-71.1208270859463,39.8828349926694
"1_1",8,15787.2835964522,0.00344843663598493,3,1000,-71.0197810101187,39.959455488709
"1_1",9,12401.0276932558,-2.34668410292214,3,1000,-71.0195740711645,39.8736751312969
"1_1",10,12878.2031760774,-0.181751919222829,3,1000,-71.0402734113614,39.7859196234763
"1_1",11,17037.2188305168,0.0398442269021464,3,1000,-71.0616377867096,39.6688992730176
"1_1",12,15031.3313927166,-0.00839600618015002,3,1000,-71.0816087387661,39.5656163482662
"1_1",13,9515.22534572147,0.00235348164829483,3,1000,-71.0940518826968,39.5001324166288
"1_1",14,11027.8830162367,0.123676625593773,3,1000,-71.0962723388386,39.4233613132234
"1_1",15,12098.6309716849,-0.28162681102498,3,1000,-71.1288101104268,39.3428875775759
"1_1",16,11914.0693032153,-0.254087905192262,3,1000,-71.1854911893738,39.2723592193732
"1_1",17,13106.4937351713,0.287383480929979,3,1000,-71.2169802970292,39.1841228200801
"1_1",18,7256.93215296259,0.155433261691999,3,1000,-71.2244809794297,39.1337068006929
"1_1",19,6934.57605970209,0.134133645059739,3,1000,-71.2233086877419,39.0851824243787
"1_1",20,8755.38935047406,-0.175628298971066,3,1000,-71.2355913601535,39.0246107639598
"1_1",21,8743.59996296427,-0.00945363619415751,3,1000,-71.2485903608953,38.9641616408187
"1_1",22,11515.529823059,-0.00770773580241269,3,1000,-71.266496176376,38.884574804804
"1_1",23,8581.76600098986,0.0749307128667119,3,1000,-71.2741187676891,38.8245906958524
"1_1",24,5861.38680004224,0.0770226214353215,3,1000,-71.2752779323351,38.783399987734
